Top,Pond_Long,Pond,Nutrient,NEP,CR,GPP
glass,Eyak South,EYS,control,-0.19,0.04,-0.15
glass,Eyak South,EYS,control,-0.56,0.00,-0.56
glass,Eyak South,EYS,control,-0.75,0.24,-0.51
glass,Eyak South,EYS,control,-0.37,0.34,-0.02
sponge,Eyak South,EYS,control,-0.20,0.83,0.63
sponge,Eyak South,EYS,control,-0.59,NA,NA
sponge,Eyak South,EYS,control,-0.57,1.06,0.49
sponge,Eyak South,EYS,control,-0.57,0.50,-0.07
glass,Eyak South,EYS,elodea,-1.32,0.30,-1.01
glass,Eyak South,EYS,elodea,0.00,0.34,0.34
glass,Eyak South,EYS,elodea,-0.18,0.13,-0.06
glass,Eyak South,EYS,elodea,-0.90,0.58,-0.33
sponge,Eyak South,EYS,elodea,-0.59,0.83,0.24
sponge,Eyak South,EYS,elodea,-1.30,1.15,-0.16
sponge,Eyak South,EYS,elodea,-1.46,1.46,0.00
sponge,Eyak South,EYS,elodea,-0.73,1.02,0.30
NA,Eyak South,EYS,NA,0.83,-0.61,0.22
NA,Eyak South,EYS,NA,0.21,-0.40,-0.20
NA,Eyak South,EYS,NA,0.20,-0.20,0.00
NA,Eyak South,EYS,NA,0.20,-0.41,-0.21
NA,Eyak South,EYS,NA,0.40,-0.41,-0.01
glass,Eyak South,EYS,potamageton,-0.97,NA,NA
glass,Eyak South,EYS,potamageton,-2.30,1.46,-0.85
glass,Eyak South,EYS,potamageton,-2.08,0.95,-1.13
glass,Eyak South,EYS,potamageton,-1.47,1.61,0.13
sponge,Eyak South,EYS,potamageton,-1.68,1.10,-0.58
sponge,Eyak South,EYS,potamageton,-1.66,1.76,0.10
sponge,Eyak South,EYS,potamageton,-1.47,1.82,0.35
sponge,Eyak South,EYS,potamageton,-1.43,1.24,-0.20
glass,Strawberry,STB,control,-0.74,0.15,-0.59
glass,Strawberry,STB,control,-0.73,0.19,-0.55
glass,Strawberry,STB,control,-0.73,0.19,-0.55
glass,Strawberry,STB,control,-1.08,0.37,-0.72
sponge,Strawberry,STB,control,-0.19,0.19,0.00
sponge,Strawberry,STB,control,-0.37,-0.06,-0.43
sponge,Strawberry,STB,control,NA,NA,NA
sponge,Strawberry,STB,control,-0.55,0.19,-0.36
glass,Strawberry,STB,elodea,-0.92,0.38,-0.54
glass,Strawberry,STB,elodea,-1.09,0.57,-0.52
glass,Strawberry,STB,elodea,-0.90,0.37,-0.53
glass,Strawberry,STB,elodea,-0.72,0.18,-0.53
sponge,Strawberry,STB,elodea,-0.37,0.19,-0.18
sponge,Strawberry,STB,elodea,NA,NA,NA
sponge,Strawberry,STB,elodea,-0.72,0.37,-0.36
sponge,Strawberry,STB,elodea,-0.72,0.55,-0.17
NA,Strawberry,STB,NA,0.19,-0.96,-0.77
NA,Strawberry,STB,NA,0.37,-0.76,-0.39
NA,Strawberry,STB,NA,0.38,-0.95,-0.58
NA,Strawberry,STB,NA,0.37,-0.95,-0.58
NA,Strawberry,STB,NA,0.19,-0.95,-0.76
glass,Strawberry,STB,potamageton,-3.70,2.08,-1.62
glass,Strawberry,STB,potamageton,-2.04,1.32,-0.72
glass,Strawberry,STB,potamageton,-1.84,1.32,-0.52
glass,Strawberry,STB,potamageton,-2.55,1.47,-1.08
sponge,Strawberry,STB,potamageton,-1.46,NA,NA
sponge,Strawberry,STB,potamageton,-0.73,0.18,-0.54
sponge,Strawberry,STB,potamageton,-1.81,1.11,-0.71
sponge,Strawberry,STB,potamageton,-1.78,1.65,-0.13
glass,Swanny (Alaganik Elodea),SWN,control,-1.56,0.83,-0.73
glass,Swanny (Alaganik Elodea),SWN,control,0.02,0.00,0.02
glass,Swanny (Alaganik Elodea),SWN,control,-0.21,0.88,0.67
glass,Swanny (Alaganik Elodea),SWN,control,-1.01,0.45,-0.56
sponge,Swanny (Alaganik Elodea),SWN,control,-1.48,0.82,-0.66
sponge,Swanny (Alaganik Elodea),SWN,control,NA,1.03,NA
sponge,Swanny (Alaganik Elodea),SWN,control,-0.33,0.41,0.09
sponge,Swanny (Alaganik Elodea),SWN,control,-0.36,0.88,0.52
glass,Swanny (Alaganik Elodea),SWN,elodea,0.04,0.84,0.87
glass,Swanny (Alaganik Elodea),SWN,elodea,0.16,0.64,0.80
glass,Swanny (Alaganik Elodea),SWN,elodea,-0.88,0.65,-0.23
glass,Swanny (Alaganik Elodea),SWN,elodea,-0.37,0.22,-0.15
sponge,Swanny (Alaganik Elodea),SWN,elodea,-1.45,1.44,-0.01
sponge,Swanny (Alaganik Elodea),SWN,elodea,-0.21,0.63,0.42
sponge,Swanny (Alaganik Elodea),SWN,elodea,-1.42,0.85,-0.57
sponge,Swanny (Alaganik Elodea),SWN,elodea,-1.31,1.59,0.28
NA,Swanny (Alaganik Elodea),SWN,NA,0.08,-0.81,-0.73
NA,Swanny (Alaganik Elodea),SWN,NA,-0.12,-0.80,-0.92
NA,Swanny (Alaganik Elodea),SWN,NA,0.08,-0.80,-0.73
NA,Swanny (Alaganik Elodea),SWN,NA,0.27,-0.20,0.07
NA,Swanny (Alaganik Elodea),SWN,NA,0.22,-0.61,-0.38
glass,Swanny (Alaganik Elodea),SWN,potamageton,-1.45,1.23,-0.22
glass,Swanny (Alaganik Elodea),SWN,potamageton,-0.69,1.24,0.54
glass,Swanny (Alaganik Elodea),SWN,potamageton,-1.60,1.04,-0.56
glass,Swanny (Alaganik Elodea),SWN,potamageton,-2.23,2.06,-0.17
glass,Swanny (Alaganik Elodea),SWN,potamageton,-1.43,1.62,0.19
sponge,Swanny (Alaganik Elodea),SWN,potamageton,-1.59,1.26,-0.33
sponge,Swanny (Alaganik Elodea),SWN,potamageton,-1.18,1.53,0.35
sponge,Swanny (Alaganik Elodea),SWN,potamageton,-0.37,1.15,0.78
glass,The Pinch,PCH,control,-0.47,0.48,0.01
glass,The Pinch,PCH,control,NA,1.42,NA
glass,The Pinch,PCH,control,-1.12,0.98,-0.14
sponge,The Pinch,PCH,control,-1.13,0.95,-0.19
sponge,The Pinch,PCH,control,-0.99,0.96,-0.03
sponge,The Pinch,PCH,control,-0.84,1.21,0.37
sponge,The Pinch,PCH,control,-1.14,0.73,-0.41
sponge,The Pinch,PCH,control,-1.51,1.00,-0.51
glass,The Pinch,PCH,elodea,-0.36,1.20,0.83
glass,The Pinch,PCH,elodea,-1.52,1.24,-0.28
glass,The Pinch,PCH,elodea,-1.36,1.26,-0.11
glass,The Pinch,PCH,elodea,-1.22,1.29,0.06
sponge,The Pinch,PCH,elodea,-1.15,0.95,-0.20
sponge,The Pinch,PCH,elodea,-0.68,1.70,1.02
sponge,The Pinch,PCH,elodea,-1.10,1.01,-0.08
sponge,The Pinch,PCH,elodea,-1.48,1.03,-0.46
NA,The Pinch,PCH,NA,-0.41,0.00,-0.41
NA,The Pinch,PCH,NA,-0.41,0.00,-0.41
NA,The Pinch,PCH,NA,-0.40,-0.26,-0.67
NA,The Pinch,PCH,NA,-0.40,-0.26,-0.66
NA,The Pinch,PCH,NA,-0.41,-0.27,-0.68
glass,The Pinch,PCH,potamageton,-1.28,1.45,0.17
glass,The Pinch,PCH,potamageton,-2.14,1.22,-0.92
glass,The Pinch,PCH,potamageton,-2.27,2.93,0.65
glass,The Pinch,PCH,potamageton,-2.41,1.95,-0.46
glass,The Pinch,PCH,potamageton,-1.75,1.79,0.04
sponge,The Pinch,PCH,potamageton,-2.03,2.15,0.12
sponge,The Pinch,PCH,potamageton,-1.59,1.44,-0.15
sponge,The Pinch,PCH,potamageton,-1.41,1.49,0.08
glass,West Cannery West,WCW,control,-1.23,0.63,-0.60
glass,West Cannery West,WCW,control,-1.23,0.63,-0.60
glass,West Cannery West,WCW,control,-2.99,2.09,-0.91
glass,West Cannery West,WCW,control,-1.21,0.41,-0.80
sponge,West Cannery West,WCW,control,-0.53,0.36,-0.17
sponge,West Cannery West,WCW,control,-0.35,0.70,0.34
sponge,West Cannery West,WCW,control,-0.87,0.63,-0.24
sponge,West Cannery West,WCW,control,-0.88,0.84,-0.05
glass,West Cannery West,WCW,elodea,-1.24,1.26,0.02
glass,West Cannery West,WCW,elodea,-1.39,0.83,-0.56
glass,West Cannery West,WCW,elodea,-1.38,0.82,-0.56
glass,West Cannery West,WCW,elodea,-1.55,1.22,-0.33
sponge,West Cannery West,WCW,elodea,-1.25,0.98,-0.27
sponge,West Cannery West,WCW,elodea,-1.23,0.83,-0.40
sponge,West Cannery West,WCW,elodea,-1.91,1.24,-0.67
sponge,West Cannery West,WCW,elodea,-2.24,1.43,-0.80
NA,West Cannery West,WCW,NA,-0.36,-0.09,-0.45
NA,West Cannery West,WCW,NA,-0.36,-0.21,-0.57
NA,West Cannery West,WCW,NA,-0.36,-0.36,-0.72
NA,West Cannery West,WCW,NA,-0.36,-0.13,-0.48
NA,West Cannery West,WCW,NA,0.00,-0.32,-0.32
glass,West Cannery West,WCW,potamageton,-1.93,1.27,-0.66
glass,West Cannery West,WCW,potamageton,-0.88,0.21,-0.67
glass,West Cannery West,WCW,potamageton,-1.06,1.27,0.21
glass,West Cannery West,WCW,potamageton,-1.92,1.66,-0.26
sponge,West Cannery West,WCW,potamageton,-2.28,1.88,-0.40
sponge,West Cannery West,WCW,potamageton,-1.93,1.66,-0.27
sponge,West Cannery West,WCW,potamageton,-1.92,1.45,-0.47
sponge,West Cannery West,WCW,potamageton,-1.37,1.64,0.27
glass,Wigeon,WGN,control,-0.97,0.19,-0.77
glass,Wigeon,WGN,control,-1.15,0.77,-0.38
glass,Wigeon,WGN,control,-1.15,0.58,-0.57
glass,Wigeon,WGN,control,-1.14,0.38,-0.75
sponge,Wigeon,WGN,control,-0.59,0.00,-0.59
sponge,Wigeon,WGN,control,-0.78,0.58,-0.20
sponge,Wigeon,WGN,control,-0.97,0.77,-0.20
sponge,Wigeon,WGN,control,-1.73,0.97,-0.77
glass,Wigeon,WGN,elodea,-0.96,0.38,-0.57
glass,Wigeon,WGN,elodea,-0.95,0.57,-0.37
glass,Wigeon,WGN,elodea,-0.94,0.58,-0.36
glass,Wigeon,WGN,elodea,-2.07,1.90,-0.17
sponge,Wigeon,WGN,elodea,-1.96,1.17,-0.80
sponge,Wigeon,WGN,elodea,-1.14,0.58,-0.56
sponge,Wigeon,WGN,elodea,-0.75,0.38,-0.37
sponge,Wigeon,WGN,elodea,-1.68,1.15,-0.54
NA,Wigeon,WGN,NA,0.40,-0.39,0.01
NA,Wigeon,WGN,NA,0.20,-0.59,-0.39
NA,Wigeon,WGN,NA,0.00,-0.59,-0.59
NA,Wigeon,WGN,NA,-0.20,-0.78,-0.98
NA,Wigeon,WGN,NA,-0.20,-0.97,-1.17
glass,Wigeon,WGN,potamageton,-2.74,1.36,-1.38
glass,Wigeon,WGN,potamageton,-2.34,1.35,-0.99
glass,Wigeon,WGN,potamageton,-1.75,1.16,-0.59
glass,Wigeon,WGN,potamageton,-2.28,1.73,-0.56
sponge,Wigeon,WGN,potamageton,-0.95,0.77,-0.18
sponge,Wigeon,WGN,potamageton,-1.14,0.58,-0.56
sponge,Wigeon,WGN,potamageton,-0.76,0.38,-0.37
sponge,Wigeon,WGN,potamageton,-1.30,1.34,0.03