iso1,iso2,group,community
-29.0676365,1.7314585,EyakSouth,Beetle
-28.99331,2.880832,EyakSouth,Beetle
-28.97219,2.623386,EyakSouth,Beetle
-28.715813,2.468344,EyakSouth,Beetle
-28.6024805,2.1216834,EyakSouth,Beetle
-29.6137177,-0.085665,EyakSouth,Bogbean
-29.5129716,1.3691884,EyakSouth,Bogbean
-28.3891,2.209926,EyakSouth,Bogbean
-28.146,2.019421,EyakSouth,Bogbean
-27.3012,2.54848,EyakSouth,Bogbean
-29.56148,1.9244745,EyakSouth,Caddisfly
-28.9747,3.546726,EyakSouth,Caddisfly
-29.07653,1.3115469,EyakSouth,Clams
-28.87243,3.490267,EyakSouth,Damselfly
-28.4502218,2.6840487,EyakSouth,Damselfly
-28.1184,2.663537,EyakSouth,Damselfly
-27.9135,3.22742,EyakSouth,Damselfly
-27.4105751,2.9218335,EyakSouth,Damselfly
-27.2987207,2.2102805,EyakSouth,Damselfly
-29.2791428,2.7407928,EyakSouth,Dragonfly
-29.1183521,2.4624765,EyakSouth,Dragonfly
-28.9722,2.131291,EyakSouth,Dragonfly
-27.9638765,1.7648269,EyakSouth,Dragonfly
-27.889964,1.4663651,EyakSouth,Dragonfly
-29.2821389,1.899539,EyakSouth,Fly
-29.0833976,1.3393036,EyakSouth,Fly
-28.63184,1.1982943,EyakSouth,Fly
-28.1667,2.307093,EyakSouth,Horsetail
-27.9342,2.05468,EyakSouth,Horsetail
-27.2208,1.444128,EyakSouth,Horsetail
-30.75488,-0.287696,EyakSouth,Milfoil
-23.2255925,0.3837459,EyakSouth,Milfoil
-23.0712,3.453107,EyakSouth,Milfoil
-29.56047,3.060319,EyakSouth,Mite
-28.53576,3.9985465,EyakSouth,Mite
-28.01687,3.7791735,EyakSouth,Mite
-27.11887,3.6450115,EyakSouth,Mite
-26.8625742,-2.8000585,EyakSouth,Peat Moss
-26.0707,0.918846,EyakSouth,Peat Moss
-25.6060157,-2.8338923,EyakSouth,Peat Moss
-25.5503,0.111105,EyakSouth,Peat Moss
-24.7377,1.94975,EyakSouth,Peat Moss
-27.91,-0.17,EyakSouth,Sedge
-27.72,-0.72,EyakSouth,Sedge
-27.62,-0.08,EyakSouth,Sedge
-30.22818,1.020989,EyakSouth,Water Boatman
-26.4615,-0.8079,EyakSouth,Water Boatman
-25.62652,1.1082492,EyakSouth,Water Boatman
-24.43247,0.1242512,EyakSouth,Water Boatman
-26.0667,2.498405,EyakSouth,Yellow Pond Lily
-25.5935,2.581138,EyakSouth,Yellow Pond Lily
-25.4168,2.946908,EyakSouth,Yellow Pond Lily
-29.5566,4.117344,ThePinch,Amphipod
-29.5507,4.213804,ThePinch,Amphipod
-31.4442,2.248914,ThePinch,Beetle
-31.0188782,0.5890205,ThePinch,Beetle
-30.5222345,2.2171541,ThePinch,Beetle
-29.717081,1.5006604,ThePinch,Beetle
-28.694132,1.8667859,ThePinch,Beetle
-28.81,2.59,ThePinch,Bladderwort
-28.64227512,0.9952912,ThePinch,Bladderwort
-28.11,0.56,ThePinch,Bladderwort
-27.792275,0.5228176,ThePinch,Bladderwort
-27.6977138,-0.171128,ThePinch,Bladderwort
-29.9757394,0.4526,ThePinch,Bogbean
-29.8085673,-3.2275947,ThePinch,Bogbean
-28.588,-0.93504,ThePinch,Bogbean
-27.8085,-0.951369,ThePinch,Bogbean
-27.6166,-0.542055,ThePinch,Bogbean
-32.02566,1.7766252,ThePinch,Clams
-29.76650272,2.3398108,ThePinch,Cotton Grass
-28.47626768,-1.2378848,ThePinch,Cotton Grass
-27.75,-0.89,ThePinch,Cotton Grass
-27.19,-0.2,ThePinch,Cotton Grass
-27.083066,-1.3541576,ThePinch,Cotton Grass
-32.6237891,2.241805,ThePinch,Damselfly
-30.94106,1.9901342,ThePinch,Damselfly
-31.092782,3.5226004,ThePinch,Dragonfly
-30.9369848,3.2289722,ThePinch,Dragonfly
-30.8074,2.772405,ThePinch,Dragonfly
-30.8071538,1.3798351,ThePinch,Dragonfly
-30.1055,2.931521,ThePinch,Dragonfly
-33.31041,1.7524894,ThePinch,Fly
-31.400315,1.9168385,ThePinch,Fly
-30.773537,1.8399058,ThePinch,Fly
-29.21253,0.5284645,ThePinch,Fly
-26.8533,1.219338,ThePinch,Horsetail
-26.5705,2.700475,ThePinch,Horsetail
-25.4729,0.644028,ThePinch,Horsetail
-29.8107815,0.4526,ThePinch,Milfoil
-29.0842,0.151383,ThePinch,Milfoil
-28.2434,-0.439727,ThePinch,Milfoil
-26.815,1.451171,ThePinch,Milfoil
-26.41752,2.0412507,ThePinch,Milfoil
-33.68343,4.1707815,ThePinch,Mite
-32.0260886,-1.6527851,ThePinch,Peat Moss
-31.6374965,-3.1091764,ThePinch,Peat Moss
-29.499,-0.60846,ThePinch,Peat Moss
-29.1163,-0.303652,ThePinch,Peat Moss
-28.3871,-2.082424,ThePinch,Peat Moss
-30.2,0.22,ThePinch,Purple Marshlocks
-29.17,-0.56,ThePinch,Purple Marshlocks
-28.3,0.68,ThePinch,Purple Marshlocks
-29.07725664,-2.6128568,ThePinch,Sedge
-27.77,-2.57,ThePinch,Sedge
-26.55,0.92,ThePinch,Sedge
-30.4517,1.023872,ThePinch,Snail
-34.97663,0.774126,ThePinch,Water Boatman
-34.4702,-0.01597,ThePinch,Water Boatman
-32.66375,0.603704,ThePinch,Water Boatman
-29.04794,-0.059552,ThePinch,Water Boatman
-27.0189,-0.474562,ThePinch,Yellow Pond Lily
-26.81,0.435508,ThePinch,Yellow Pond Lily
-26.4634,-0.408157,ThePinch,Yellow Pond Lily
-31.6748,-0.77993,Strawberry,Amphipod
-37.73380916,0.9832948,Strawberry,Bladderwort
-36.64110196,1.5692728,Strawberry,Bladderwort
-36.04,1.65,Strawberry,Bladderwort
-35.8,1.56,Strawberry,Bladderwort
-35.40340092,1.2665944,Strawberry,Bladderwort
-30.5171113,-2.1433752,Strawberry,Bogbean
-29.9004566,0.4725927,Strawberry,Bogbean
-28.155,2.553923,Strawberry,Bogbean
-28.1189,0.598798,Strawberry,Bogbean
-26.3841,1.821295,Strawberry,Bogbean
-29.64545,3.1013093,Strawberry,Caddisfly
-37.6622306,2.8849048,Strawberry,Damselfly
-37.0080821,2.5894752,Strawberry,Damselfly
-35.6167,2.629108,Strawberry,Damselfly
-35.1962,3.315817,Strawberry,Damselfly
-38.2414766,3.2388799,Strawberry,Damselfly
-33.8671706,3.3757863,Strawberry,Dragonfly
-33.3338648,3.1389022,Strawberry,Dragonfly
-33.1121534,3.2127596,Strawberry,Dragonfly
-31.2034,1.567408,Strawberry,Dragonfly
-26.9272,2.304235,Strawberry,Horsetail
-26.9183,-0.48945,Strawberry,Horsetail
-26.9114,1.329828,Strawberry,Horsetail
-30.225,5.325024,Strawberry,Leech
-28.908805,-2.421004,Strawberry,Mare's Tail
-28.016825,-2.854507,Strawberry,Mare's Tail
-35.1868,4.6258445,Strawberry,Mite
-28.08224,4.030274,Strawberry,Mite
-32.2641151,-3.8873538,Strawberry,Pondweed
-32.0914075,-7.298416,Strawberry,Pondweed
-30.7105,-1.496757,Strawberry,Pondweed
-29.6588,-6.965884,Strawberry,Pondweed
-28.9536,0.442039,Strawberry,Pondweed
-28.6909,2.563315,Strawberry,Purple Marshlocks
-28.5943,2.562363,Strawberry,Purple Marshlocks
-27.9184,1.756548,Strawberry,Purple Marshlocks
-29.31,2.14,Strawberry,Sedge
-28.79,3.2,Strawberry,Sedge
-28.55,-2.91,Strawberry,Sedge
-38.19154,1.559155,Strawberry,Water Boatman
-37.18493,1.3461275,Strawberry,Water Boatman
-27.8707,-0.28188,Strawberry,Yellow Pond Lily
-26.5046,-0.228538,Strawberry,Yellow Pond Lily
-26.3389,-0.257931,Strawberry,Yellow Pond Lily
-29.7881,1.358588,Swanny,Amphipod
-28.783,2.035738,Swanny,Amphipod
-28.3121,1.000722,Swanny,Amphipod
-28.17,5.619227,Swanny,Amphipod
-27.7264,5.17744,Swanny,Amphipod
-32.4649958,2.9029188,Swanny,Beetle
-32.0125847,2.5048094,Swanny,Beetle
-30.04718,2.331493,Swanny,Beetle
-28.9825289,2.3102582,Swanny,Beetle
-28.37487,5.1062895,Swanny,Beetle
-28.96385,0.5879352,Swanny,Bogbean
-28.8819246,0.5971626,Swanny,Bogbean
-28.2394,2.675846,Swanny,Bogbean
-27.5162,2.902275,Swanny,Bogbean
-26.8582,3.628371,Swanny,Bogbean
-28.56874,3.9999037,Swanny,Caddisfly
-28.1018465,0.2308074,Swanny,Caddisfly
-32.43485,1.9994172,Swanny,Clams
-28.09546,3.7306967,Swanny,Clams
-31.89156,3.666644,Swanny,Damselfly
-31.68746,4.3118125,Swanny,Damselfly
-31.68253,3.9098586,Swanny,Damselfly
-30.0163,3.52611,Swanny,Damselfly
-28.8242,3.224628,Swanny,Damselfly
-29.8918,3.388396,Swanny,Dragonfly
-29.5767554,3.3865947,Swanny,Dragonfly
-27.9174,4.182113,Swanny,Dragonfly
-27.876968,4.8466294,Swanny,Dragonfly
-26.5816541,4.3332304,Swanny,Dragonfly
-21.92,1.56,Swanny,Elodea
-21.25,0.43,Swanny,Elodea
-19.9293134,-0.3197858,Swanny,Elodea
-17.9523,-0.348284,Swanny,Elodea
-17.760137,0.9132725,Swanny,Elodea
-27.44371,3.0743886,Swanny,Fly
-26.9331,2.503308,Swanny,Horsetail
-26.3479,3.236733,Swanny,Horsetail
-25.5961,3.897768,Swanny,Horsetail
-30.5948,3.93407,Swanny,Leech
-29.8991,4.901564,Swanny,Leech
-29.4904,4.780989,Swanny,Leech
-28.7733,5.654917,Swanny,Leech
-29.8201,3.972063,Swanny,Mare's Tail
-29.4437,3.435805,Swanny,Mare's Tail
-28.1283,2.71762,Swanny,Mare's Tail
-28.2335039,2.1643448,Swanny,Milfoil
-26.788385,2.4237464,Swanny,Milfoil
-24.5163425,-0.2657438,Swanny,Milfoil
-36.64995,4.2614315,Swanny,Mite
-28.63029,5.197846,Swanny,Mite
-27.35016,3.557081,Swanny,Mite
-33.1176892,-0.6131647,Swanny,Peat Moss
-31.9519129,-1.9588272,Swanny,Peat Moss
-30.9220043,1.5779891,Swanny,Peat Moss
-30.5994242,1.2384252,Swanny,Peat Moss
-26.0912924,0.6862961,Swanny,Peat Moss
-29.85272,-0.153679,Swanny,Pondweed
-29.802845,-0.645979,Swanny,Pondweed
-29.753405,2.010164,Swanny,Pondweed
-29.71272,-3.703873,Swanny,Pondweed
-29.50466,1.897268,Swanny,Pondweed
-29.392905,1.271048,Swanny,Pondweed
-29.36664,-3.047224,Swanny,Pondweed
-29.33059,1.446125,Swanny,Pondweed
-29.20604,0.164744,Swanny,Pondweed
-28.913955,-1.073308,Swanny,Pondweed
-28.832585,1.256936,Swanny,Pondweed
-28.75673,1.361618,Swanny,Pondweed
-28.70641,-3.070156,Swanny,Pondweed
-28.660575,-0.119425,Swanny,Pondweed
-28.38596,-0.795481,Swanny,Pondweed
-28.36454,1.106797,Swanny,Pondweed
-28.04732,-0.142115,Swanny,Pondweed
-27.71684,2.091802,Swanny,Pondweed
-27.58322,2.567165,Swanny,Pondweed
-27.50264,0.61987,Swanny,Pondweed
-27.40655,2.19803,Swanny,Pondweed
-27.08931,-1.681888,Swanny,Pondweed
-26.535685,0.096665,Swanny,Pondweed
-28.8348,1.01836,Swanny,Purple Marshlocks
-28.1381,0.259218,Swanny,Purple Marshlocks
-27.2543,1.406028,Swanny,Purple Marshlocks
-33.237256,3.7729261,Swanny,Reed Grass
-33.1885436,3.7144859,Swanny,Reed Grass
-27.7687475,1.717555,Swanny,Sedge
-26.818346,3.7198537,Swanny,Sedge
-26.593046,0.568199,Swanny,Sedge
-31.3576,1.292996,Swanny,Snail
-28.0367,2.051171,Swanny,Snail
-27.53541,1.9418626,Swanny,Water Boatman
-29.8967,4.577575,Swanny,Willow
-26.7803,2.690521,Swanny,Willow
-26.2141325,1.5896982,Swanny,Yellow Pond Lily
-25.7657162,1.7725403,Swanny,Yellow Pond Lily
-25.7037968,2.7966362,Swanny,Yellow Pond Lily
-29.69,-0.91,WestCanneryWest,Algae
-29.0846114,-0.8115512,WestCanneryWest,Algae
-29.07830732,-1.0560932,WestCanneryWest,Algae
-28.45,-0.83,WestCanneryWest,Algae
-26.73949364,-1.0717808,WestCanneryWest,Algae
-30.80006,2.4719219,WestCanneryWest,Beetle
-30.60779,2.4904879,WestCanneryWest,Beetle
-29.486635,1.537176,WestCanneryWest,Bogbean
-29.36728,1.378324,WestCanneryWest,Bogbean
-28.64897,1.770194,WestCanneryWest,Bogbean
-27.75408,1.282592,WestCanneryWest,Bogbean
-27.00033333,-1.244353333,WestCanneryWest,Bogbean
-26.90497,0.703466,WestCanneryWest,Bogbean
-26.36433,-0.022414,WestCanneryWest,Bogbean
-25.6623,-1.142946667,WestCanneryWest,Bogbean
-35.99648,1.290748,WestCanneryWest,Burreed
-35.8352,0.629107,WestCanneryWest,Burreed
-33.86672,1.155255,WestCanneryWest,Burreed
-27.67,1.99,WestCanneryWest,Burreed
-30.020615,-0.2724993,WestCanneryWest,Caddisfly
-29.84857,1.6503764,WestCanneryWest,Caddisfly
-28.74932,1.1475115,WestCanneryWest,Caddisfly
-29.93139,2.1284509,WestCanneryWest,Clams
-28.33604,2.1451603,WestCanneryWest,Clams
-29.4728906,2.4300513,WestCanneryWest,Damselfly
-29.1293378,3.3631765,WestCanneryWest,Damselfly
-29.0164,3.778276,WestCanneryWest,Damselfly
-28.5556,3.054347,WestCanneryWest,Damselfly
-27.4345439,2.1202105,WestCanneryWest,Damselfly
-29.8733693,2.8975146,WestCanneryWest,Dragonfly
-29.2891298,2.3003505,WestCanneryWest,Dragonfly
-28.4831,3.003169,WestCanneryWest,Dragonfly
-27.5637635,1.9372303,WestCanneryWest,Dragonfly
-27.4684997,4.1521897,WestCanneryWest,Dragonfly
-30.4138295,1.7388737,WestCanneryWest,Fly
-29.811689,1.9928443,WestCanneryWest,Fly
-27.5362,0.5266515,WestCanneryWest,Fly
-27.862135,-0.35913375,WestCanneryWest,Horsetail
-30.2902,4.220557,WestCanneryWest,Leech
-30.1929,3.17493,WestCanneryWest,Leech
-28.4425,5.096413,WestCanneryWest,Leech
-29.77605,2.679873,WestCanneryWest,Mare's Tail
-28.4264,3.6516,WestCanneryWest,Mare's Tail
-32.70176,-3.178543,WestCanneryWest,Milfoil
-31.77728,-2.061962,WestCanneryWest,Milfoil
-25.77968,-1.320212,WestCanneryWest,Milfoil
-24.8981,-1.199779,WestCanneryWest,Milfoil
-24.6096257,-2.4924785,WestCanneryWest,Milfoil
-26.73574,3.1736315,WestCanneryWest,Mite
-27.81676,4.37837,WestCanneryWest,Mite
-26.9145,0.139408,WestCanneryWest,Peat Moss
-26.3425,-0.525363333,WestCanneryWest,Peat Moss
-25.5593,-0.711015,WestCanneryWest,Peat Moss
-29.978615,-0.9048085,WestCanneryWest,Pondweed
-29.5146,0.199172,WestCanneryWest,Pondweed
-29.51425667,-0.866176,WestCanneryWest,Pondweed
-28.99445,-1.4393005,WestCanneryWest,Pondweed
-28.90793,-0.1648825,WestCanneryWest,Pondweed
-28.708625,-4.6253455,WestCanneryWest,Pondweed
-28.57627,-1.2565915,WestCanneryWest,Pondweed
-28.5513975,1.901577,WestCanneryWest,Pondweed
-28.43001,1.965359,WestCanneryWest,Pondweed
-28.22607,-1.112515,WestCanneryWest,Pondweed
-27.97681,-0.555298,WestCanneryWest,Pondweed
-27.58322,-2.02333,WestCanneryWest,Pondweed
-27.40722,2.168066,WestCanneryWest,Pondweed
-27.0314,0.326227,WestCanneryWest,Pondweed
-26.89829,-0.708338,WestCanneryWest,Pondweed
-26.72948,0.041257,WestCanneryWest,Pondweed
-26.220145,-1.2538645,WestCanneryWest,Pondweed
-29.6663,1.174807,WestCanneryWest,Purple Marshlocks
-29.21359,0.904924,WestCanneryWest,Purple Marshlocks
-28.14757,1.760726,WestCanneryWest,Purple Marshlocks
-26.8581,1.606608,WestCanneryWest,Purple Marshlocks
-29.0892,-0.26176,WestCanneryWest,Sedge
-28.9526,2.339469,WestCanneryWest,Sedge
-28.537,0.684298,WestCanneryWest,Sedge
-28.0998,2.842402,WestCanneryWest,Sedge
-32.60937,1.3960222,WestCanneryWest,Water Boatman
-29.9292,1.565977,WestCanneryWest,Water Boatman
-28.59912,1.919942,WestCanneryWest,Water Boatman
-26.9441,0.584015,WestCanneryWest,Water Boatman
-26.04791,0.777752,WestCanneryWest,Water Boatman
-27.0686,-0.55421,WestCanneryWest,Water Boatman
-34.532,0.482735,WestCanneryWest,Yellow Pond Lily
-34.30448,0.966356,WestCanneryWest,Yellow Pond Lily
-32.43536,1.118662,WestCanneryWest,Yellow Pond Lily
-26.6633,1.000176333,WestCanneryWest,Yellow Pond Lily
-34.93,-0.5,Wigeon,Algae
-32.68108904,0.2404408,Wigeon,Algae
-30.0932642,-0.3446144,Wigeon,Algae
-28.90704648,1.2721312,Wigeon,Algae
-24.69,-1.01,Wigeon,Algae
-27.4286,-1.89211,Wigeon,Amphipod
-29.6733,1.071138,Wigeon,Beetle
-29.4381845,1.8158064,Wigeon,Beetle
-28.609379,1.3773827,Wigeon,Beetle
-27.84266,0.2558337,Wigeon,Beetle
-27.1114,1.955676,Wigeon,Beetle
-29.2422134,1.9042492,Wigeon,Burreed
-28.24196604,0.4812916,Wigeon,Burreed
-27.84,2.08,Wigeon,Burreed
-25.66,2.43,Wigeon,Burreed
-22.154354,-2.6435095,Wigeon,Caddisfly
-20.5844525,0.5005353,Wigeon,Caddisfly
-26.78014,1.9167985,Wigeon,Clams
-24.82983,1.865742,Wigeon,Clams
-30.59864128,0.9786808,Wigeon,Cotton Grass
-29.28529128,0.0697228,Wigeon,Cotton Grass
-28.56,2.01,Wigeon,Cotton Grass
-27.68,1.49,Wigeon,Cotton Grass
-27.5873924,-0.8207792,Wigeon,Cotton Grass
-27.0170873,1.8400928,Wigeon,Damselfly
-26.5716671,1.9364677,Wigeon,Damselfly
-25.4471,3.007822,Wigeon,Damselfly
-24.3964985,2.1949686,Wigeon,Damselfly
-30.263861,2.5516458,Wigeon,Dragonfly
-30.2555,3.069235,Wigeon,Dragonfly
-29.6965994,3.3739849,Wigeon,Dragonfly
-28.5389,3.039459,Wigeon,Dragonfly
-26.8762706,3.1443064,Wigeon,Dragonfly
-20.7539,0.082801,Wigeon,Elodea
-18.6324,-0.039122,Wigeon,Elodea
-17.6841,-0.285146,Wigeon,Elodea
-16.88,-2.08,Wigeon,Elodea
-15.73,-2.04,Wigeon,Elodea
-26.025398,0.2511992,Wigeon,Fly
-24.85426,-0.419735,Wigeon,Fly
-24.3526,-0.349182,Wigeon,Fly
-23.40703,-0.476359,Wigeon,Fly
-27.815,2.92717,Wigeon,Horsetail
-27.7036,1.975623,Wigeon,Horsetail
-30.7174964,6.8533398,Wigeon,Leech
-26.3367017,11.2302032,Wigeon,Leech
-25.9470025,9.52621,Wigeon,Leech
-30.4566,0.879295,Wigeon,Mare's Tail
-28.6968,1.594623,Wigeon,Mare's Tail
-26.8612,0.867865,Wigeon,Mare's Tail
-32.35302,2.7095035,Wigeon,Mite
-28.81633,3.582463,Wigeon,Mite
-27.38536,2.956978,Wigeon,Mite
-30.1841,0.610772,Wigeon,Pondweed
-29.5915,1.741828,Wigeon,Pondweed
-29.3668344,-3.7873903,Wigeon,Pondweed
-28.4122,-0.813117,Wigeon,Pondweed
-26.9068582,-4.0980461,Wigeon,Pondweed
-28.76,0.04,Wigeon,Purple Marshlocks
-28.69,-0.01,Wigeon,Purple Marshlocks
-28.68,-0.05,Wigeon,Purple Marshlocks
-31.7913834,3.5560822,Wigeon,Reed Grass
-30.3709741,2.9209295,Wigeon,Reed Grass
-28.99950632,-0.2809412,Wigeon,Reed Grass
-27.64938252,5.7707812,Wigeon,Reed Grass
-30.2298526,-0.1554404,Wigeon,Sedge
-29.68770172,-0.1517492,Wigeon,Sedge
-26.98745412,0.0669544,Wigeon,Sedge
-28.603,1.646039,Wigeon,Snail
-24.8171,1.478199,Wigeon,Snail
-25.16112,3.0066227,Wigeon,Water Boatman
-25.0413,2.757548,Wigeon,Water Boatman
-28.8252,-0.97472,Wigeon,Willow
-28.0674,-1.38414,Wigeon,Willow
-26.2244,0.053409,Wigeon,Yellow Pond Lily
-26.2043,1.278084,Wigeon,Yellow Pond Lily
-24.5127,1.336868,Wigeon,Yellow Pond Lily
-31.66192944,0.424078,Wigeon,Yellow Pond Lily